hora,data,umidade_solo,umidade,temperatura
17:45:04,08/03/2022,579.00,64.00,25.00
17:45:06,08/03/2022,577.00,64.00,25.00
17:45:08,08/03/2022,577.00,64.00,25.00
17:45:11,08/03/2022,578.00,64.00,25.00
17:45:13,08/03/2022,579.00,64.00,25.00
17:45:15,08/03/2022,579.00,64.00,25.00
17:45:18,08/03/2022,579.00,64.00,25.00
17:45:20,08/03/2022,579.00,64.00,25.00
17:45:22,08/03/2022,580.00,64.00,25.00
17:45:24,08/03/2022,580.00,64.00,25.00
17:45:27,08/03/2022,580.00,64.00,25.00
17:45:29,08/03/2022,580.00,64.00,25.00
17:45:31,08/03/2022,580.00,63.00,25.00
17:45:34,08/03/2022,580.00,63.00,25.00
17:45:36,08/03/2022,581.00,63.00,25.00
17:45:38,08/03/2022,581.00,63.00,25.00
17:45:41,08/03/2022,582.00,63.00,25.00
17:45:43,08/03/2022,583.00,63.00,25.00
17:45:45,08/03/2022,583.00,63.00,25.00
17:45:48,08/03/2022,583.00,63.00,25.00
17:45:50,08/03/2022,582.00,63.00,25.00
17:45:52,08/03/2022,582.00,63.00,25.00
17:45:54,08/03/2022,583.00,63.00,25.00
17:45:57,08/03/2022,583.00,63.00,25.00
17:45:59,08/03/2022,582.00,63.00,25.00
17:46:01,08/03/2022,584.00,63.00,25.00
17:46:04,08/03/2022,584.00,63.00,25.00
17:46:06,08/03/2022,583.00,63.00,25.00
17:46:08,08/03/2022,583.00,63.00,25.00
17:46:11,08/03/2022,584.00,63.00,25.00
17:46:13,08/03/2022,584.00,63.00,25.00
17:46:15,08/03/2022,584.00,63.00,25.00
17:46:18,08/03/2022,584.00,63.00,25.00
17:46:20,08/03/2022,585.00,63.00,25.00
17:46:22,08/03/2022,585.00,63.00,25.00
17:46:24,08/03/2022,585.00,63.00,25.00
17:46:27,08/03/2022,585.00,63.00,25.00
17:46:29,08/03/2022,585.00,63.00,25.00
17:46:31,08/03/2022,586.00,63.00,25.00
17:46:34,08/03/2022,585.00,63.00,25.00
17:46:36,08/03/2022,585.00,63.00,25.00
17:46:38,08/03/2022,586.00,63.00,25.00
17:46:41,08/03/2022,586.00,63.00,25.00
17:46:43,08/03/2022,586.00,63.00,25.00
17:46:45,08/03/2022,586.00,63.00,25.00
17:46:48,08/03/2022,586.00,63.00,25.00
17:46:50,08/03/2022,586.00,63.00,25.00
17:46:52,08/03/2022,586.00,63.00,25.00
17:46:54,08/03/2022,586.00,63.00,25.00
17:46:57,08/03/2022,586.00,63.00,25.00
17:46:59,08/03/2022,586.00,63.00,25.00
17:47:01,08/03/2022,587.00,63.00,25.00
17:47:04,08/03/2022,586.00,63.00,25.00
17:47:06,08/03/2022,586.00,63.00,25.00
17:47:08,08/03/2022,587.00,63.00,25.00
17:47:11,08/03/2022,586.00,64.00,25.00
17:47:13,08/03/2022,586.00,64.00,25.00
17:47:15,08/03/2022,587.00,64.00,25.00
17:47:18,08/03/2022,587.00,64.00,25.00
