hora,data,umidade_solo,umidade,temperatura
17:45:04,08/03/2022,586.00,64.00,25.00
17:45:06,08/03/2022,583.00,64.00,25.00
17:45:09,08/03/2022,583.00,65.00,25.00
17:45:11,08/03/2022,585.00,65.00,25.00
17:45:13,08/03/2022,584.00,65.00,25.00
17:45:15,08/03/2022,584.00,64.00,25.00
17:45:18,08/03/2022,585.00,64.00,25.00
17:45:20,08/03/2022,585.00,64.00,25.00
17:45:22,08/03/2022,586.00,64.00,25.00
17:45:25,08/03/2022,586.00,65.00,25.00
17:45:27,08/03/2022,586.00,65.00,25.00
17:45:29,08/03/2022,586.00,66.00,25.00
17:45:32,08/03/2022,586.00,66.00,25.00
17:45:34,08/03/2022,587.00,66.00,25.00
17:45:36,08/03/2022,587.00,67.00,25.00
17:45:39,08/03/2022,586.00,67.00,25.00
17:45:41,08/03/2022,587.00,67.00,25.00
17:45:43,08/03/2022,586.00,67.00,25.00
17:45:45,08/03/2022,586.00,67.00,25.00
17:45:48,08/03/2022,586.00,67.00,25.00
17:45:50,08/03/2022,587.00,68.00,25.00
17:45:52,08/03/2022,587.00,67.00,25.00
17:45:55,08/03/2022,586.00,67.00,25.00
17:45:57,08/03/2022,586.00,66.00,25.00
17:45:59,08/03/2022,587.00,66.00,25.00
17:46:02,08/03/2022,587.00,66.00,25.00
17:46:04,08/03/2022,587.00,65.00,25.00
17:46:06,08/03/2022,587.00,65.00,25.00
17:46:09,08/03/2022,586.00,65.00,25.00
17:46:11,08/03/2022,586.00,65.00,25.00
17:46:13,08/03/2022,587.00,65.00,25.00
17:46:15,08/03/2022,587.00,65.00,25.00
17:46:18,08/03/2022,587.00,66.00,25.00
17:46:20,08/03/2022,588.00,66.00,25.00
17:46:22,08/03/2022,587.00,66.00,25.00
17:46:25,08/03/2022,588.00,67.00,25.00
17:46:27,08/03/2022,587.00,67.00,25.00
17:46:29,08/03/2022,587.00,67.00,25.00
17:46:32,08/03/2022,587.00,67.00,25.00
17:46:34,08/03/2022,587.00,66.00,25.00
17:46:36,08/03/2022,588.00,66.00,25.00
17:46:39,08/03/2022,587.00,66.00,25.00
17:46:41,08/03/2022,588.00,65.00,25.00
17:46:43,08/03/2022,588.00,65.00,25.00
17:46:45,08/03/2022,588.00,65.00,25.00
17:46:48,08/03/2022,588.00,65.00,25.00
17:46:50,08/03/2022,588.00,66.00,25.00
17:46:52,08/03/2022,587.00,66.00,25.00
17:46:55,08/03/2022,588.00,66.00,25.00
17:46:57,08/03/2022,589.00,66.00,25.00
17:46:59,08/03/2022,588.00,66.00,25.00
17:47:02,08/03/2022,588.00,65.00,25.00
17:47:04,08/03/2022,588.00,66.00,25.00
17:47:06,08/03/2022,589.00,66.00,25.00
17:47:09,08/03/2022,589.00,66.00,25.00
17:47:11,08/03/2022,588.00,66.00,25.00
17:47:13,08/03/2022,588.00,65.00,25.00
17:47:15,08/03/2022,589.00,65.00,25.00
17:47:18,08/03/2022,588.00,65.00,25.00
17:47:20,08/03/2022,589.00,65.00,25.00
17:47:22,08/03/2022,589.00,65.00,25.00
17:47:25,08/03/2022,589.00,65.00,25.00
17:47:27,08/03/2022,589.00,65.00,25.00
17:47:29,08/03/2022,589.00,64.00,25.00
17:47:32,08/03/2022,589.00,64.00,25.00
17:47:34,08/03/2022,589.00,64.00,25.00
17:47:36,08/03/2022,589.00,65.00,25.00
17:47:39,08/03/2022,589.00,65.00,25.00
17:47:41,08/03/2022,589.00,65.00,25.00
17:47:43,08/03/2022,588.00,64.00,25.00
17:47:45,08/03/2022,588.00,65.00,26.00
17:47:48,08/03/2022,589.00,64.00,25.00
17:47:50,08/03/2022,589.00,64.00,25.00
17:47:52,08/03/2022,589.00,65.00,26.00
17:47:55,08/03/2022,589.00,65.00,26.00
17:47:57,08/03/2022,589.00,64.00,25.00
17:47:59,08/03/2022,589.00,65.00,26.00
17:48:02,08/03/2022,589.00,65.00,26.00
17:48:04,08/03/2022,589.00,64.00,26.00
17:48:06,08/03/2022,589.00,64.00,26.00
17:48:09,08/03/2022,589.00,64.00,26.00
17:48:11,08/03/2022,590.00,64.00,26.00
17:48:13,08/03/2022,589.00,65.00,26.00
17:48:15,08/03/2022,589.00,65.00,26.00
17:48:18,08/03/2022,589.00,65.00,26.00
17:48:20,08/03/2022,589.00,65.00,26.00
17:48:22,08/03/2022,589.00,65.00,26.00
17:48:25,08/03/2022,590.00,64.00,26.00
17:48:27,08/03/2022,590.00,64.00,26.00
17:48:29,08/03/2022,590.00,64.00,26.00
17:48:32,08/03/2022,589.00,64.00,26.00
17:48:34,08/03/2022,589.00,64.00,26.00
17:48:36,08/03/2022,589.00,64.00,26.00
17:48:39,08/03/2022,590.00,64.00,26.00
17:48:41,08/03/2022,590.00,64.00,26.00
17:48:43,08/03/2022,590.00,64.00,26.00
17:48:45,08/03/2022,589.00,64.00,26.00
17:48:48,08/03/2022,589.00,64.00,26.00
17:48:50,08/03/2022,590.00,64.00,26.00
17:48:52,08/03/2022,590.00,64.00,26.00
17:48:55,08/03/2022,589.00,65.00,26.00
17:48:57,08/03/2022,590.00,66.00,26.00
17:48:59,08/03/2022,589.00,65.00,26.00
17:49:02,08/03/2022,589.00,65.00,26.00
17:49:04,08/03/2022,590.00,65.00,26.00
17:49:06,08/03/2022,590.00,66.00,26.00
17:49:09,08/03/2022,590.00,66.00,26.00
17:49:11,08/03/2022,590.00,66.00,26.00
17:49:13,08/03/2022,590.00,66.00,26.00
17:49:15,08/03/2022,590.00,67.00,26.00
17:49:18,08/03/2022,590.00,66.00,26.00
17:49:20,08/03/2022,590.00,66.00,26.00
17:49:22,08/03/2022,590.00,66.00,26.00
17:49:25,08/03/2022,590.00,66.00,26.00
17:49:27,08/03/2022,590.00,66.00,26.00
17:49:29,08/03/2022,590.00,66.00,26.00
17:49:32,08/03/2022,590.00,67.00,26.00
17:49:34,08/03/2022,590.00,67.00,26.00
17:49:36,08/03/2022,590.00,67.00,26.00
17:49:39,08/03/2022,590.00,67.00,26.00
17:49:41,08/03/2022,590.00,67.00,26.00
17:49:43,08/03/2022,590.00,66.00,26.00
